Date,Open,High,Low,Close,Volume
2025-04-04,762.11,768.27,734.6975,738.21,5299446
2025-04-07,697.93,748.0,677.0912,723.73,6274432
2025-04-08,754.98,763.504,713.2837,726.24,4115191
2025-04-09,704.4,754.83,689.0,753.71,6618978
2025-04-10,738.9,741.95,691.765,720.91,4182699
2025-04-11,722.89,735.8394,711.975,732.41,3603402
2025-04-14,750.45,759.56,734.5201,754.35,3461155
2025-04-15,755.57,765.31,751.49,757.18,2458145
2025-04-16,755.64,756.3,730.34,734.9,3302584
2025-04-17,840.8,858.0,821.84,839.96,10853385
2025-04-21,841.51,843.91,807.0,818.02,3326647
2025-04-22,821.88,832.0,814.0,827.54,3086504
2025-04-23,836.96,846.01,818.64,829.42,2714595
2025-04-24,836.0,862.25,829.21,859.73,2939516
2025-04-25,859.66,885.58,851.0688,884.54,3398884
2025-04-28,870.44,882.25,864.4101,877.29,3457569
2025-04-29,877.7,892.47,874.03,885.2,2454441
2025-04-30,888.2,902.4999,882.12,898.95,4374094
2025-05-01,844.0,850.93,792.07,794.1,12601092
2025-05-02,825.115,831.53,807.585,823.62,6059361
2025-05-05,817.0,829.64,812.025,821.46,2889574
2025-05-06,816.89,818.42,770.35,775.12,5981971
2025-05-07,780.5,784.34,772.26,776.72,3818272
2025-05-08,765.0,769.979,739.08,751.45,6162033
2025-05-09,752.01,762.01,733.0,734.57,4072561
2025-05-12,727.87,765.3299,722.18,755.57,9176065
2025-05-13,755.55,759.4999,740.8501,746.06,4523911
2025-05-14,749.24,759.5,714.03,715.56,7558516
2025-05-15,725.7,738.68,712.21,733.29,5212870
2025-05-16,740.0,758.87,738.0,757.39,4645121
2025-05-19,753.0,758.72,747.56,755.11,4062745
2025-05-20,756.0,763.495,743.0001,747.01,3873473
2025-05-21,747.05,750.52,723.97,724.95,4059969
2025-05-22,717.1,722.1883,711.55,715.2,4249900
2025-05-23,710.0,719.64,709.0,713.71,2635706
2025-05-27,717.03,731.31,714.33,725.22,3792652
2025-05-28,725.22,729.99,714.74,719.39,2948772
2025-05-29,719.23,727.327,716.955,722.57,2786929
2025-05-30,725.0,745.9,717.11,737.67,6106236
2025-06-02,732.5,747.37,730.695,747.12,2946864
2025-06-03,746.25,757.0,741.46,750.78,3056488
